Издатель,Количество игр,Средняя цена,Средние владельцы,Средний CCU,Суммарный доход (оценка),Средний метаскор,Средняя доля положительных отзывов
Dovetail Games - Flight,1,419.0,10000.0,0.0,4190000.0,,0.8235
Dovetail Games - TSW,1,,10000.0,0.0,0.0,,0.7029
Dovetail Games - Trains,2,199.0,10000.0,0.0,1990000.0,,0.7598
Drakkar Game Studio,1,,10000.0,0.0,0.0,,0.0
"Dreadlocks Mobile, Silicon Jelly, Dreadlocks Ltd.",1,,10000.0,4.0,0.0,,0.9032
Dreaming Door Studios,1,,10000.0,1.0,0.0,,0.0
DriftyGames,1,125.0,10000.0,0.0,1250000.0,,0.9565
E-Crew,1,,10000.0,0.0,0.0,,0.0
EGC Games,2,82.0,10000.0,0.0,820000.0,,0.20835
ESDigital Games,1,29.0,10000.0,0.0,290000.0,,1.0
EYEFRONT,1,99.0,10000.0,0.0,990000.0,,0.0
Eagle Dynamics SA,1,900.0,10000.0,0.0,9000000.0,,0.7083
Earlgrey,1,139.0,10000.0,0.0,1390000.0,,0.9167
Eastasiasoft Limited,1,,10000.0,0.0,0.0,,0.6667
EasyWays,1,59.0,10000.0,0.0,590000.0,,0.7442
Edge of Reality,1,,7500000.0,1.0,0.0,72.0,0.8259
Effort Star,1,359.0,35000.0,0.0,12565000.0,,0.934
Eldin Turulja,1,,150000.0,45.0,0.0,,0.902
Electronic Arts,2,,10000.0,0.0,0.0,,0.5549
Element Studio,1,199.0,75000.0,2.0,14925000.0,,0.7788
Elraim Studio,1,280.0,10000.0,0.0,2800000.0,,0.6
Emperium Team,1,30.0,75000.0,0.0,2250000.0,,0.6667
Endless Entertainment,1,289.0,10000.0,0.0,2890000.0,,0.3333
Enigmatic Network,1,600.0,10000.0,0.0,6000000.0,,0.9778
Enoops,1,30.0,10000.0,0.0,300000.0,,0.0
Epic Tech Labs LLC,1,,10000.0,0.0,0.0,,0.0
Equalsonics,1,,10000.0,0.0,0.0,,0.7895
Ethan Goodchild,1,82.0,10000.0,0.0,820000.0,,1.0
Eugen Systems,2,,10000.0,0.0,0.0,,0.93135
Excalibur Games,1,102.0,10000.0,0.0,1020000.0,,0.7143
FIVE-BN GAMES,1,,350000.0,42.0,0.0,,0.9444
Fasaria World,1,,10000.0,0.0,0.0,,0.75
Feel Good Games,1,,10000.0,1.0,0.0,,0.6698
FireRing Studio,1,82.0,10000.0,0.0,820000.0,,0.0
Firebelley,1,82.0,10000.0,0.0,820000.0,,1.0
Firenut Games,1,710.0,10000.0,0.0,7100000.0,,1.0
First Games Interactive,1,,35000.0,0.0,0.0,,0.0
Fishing Planet LLC,1,,10000.0,0.0,0.0,,0.7143
Flynn's Arcade,1,385.0,10000.0,0.0,3850000.0,,0.9167
Forestlight Games,1,200.0,35000.0,0.0,7000000.0,,1.0
Forever Entertainment S. A.,1,,75000.0,2.0,0.0,,0.8901
"Forward Global Group, Ltd.",1,,10000.0,0.0,0.0,,0.0
Frogwares,1,,75000.0,3.0,0.0,,0.8144
"Frontier Developments, Aspyr (Mac)",1,,10000.0,0.0,0.0,,0.8222
Frontwing USA,2,,10000.0,0.0,0.0,,0.45825
Frostknight Games,1,61.0,10000.0,0.0,610000.0,,1.0
FunDream Games,1,,10000.0,0.0,0.0,,0.0
FurGoldGames,1,133.0,10000.0,0.0,1330000.0,,0.5714
FutureCake,1,,10000.0,0.0,0.0,,0.0
FutureMental Games,1,,10000.0,0.0,0.0,,0.2
Futuristic,1,,10000.0,0.0,0.0,,0.0
GAME Games,1,,10000.0,0.0,0.0,,0.9487
GGaming,1,42.0,10000.0,0.0,420000.0,,0.6957
GJ Arts,1,42.0,10000.0,0.0,420000.0,,0.0
GTGD,1,240.0,10000.0,0.0,2400000.0,,0.6
Galaktus,1,,10000.0,0.0,0.0,,0.8851
Game for people,1,,75000.0,0.0,0.0,,0.7214
Gamecraft Studios,1,,35000.0,54.0,0.0,,0.8973
Gamepainters,1,,10000.0,0.0,0.0,,0.0
Gamera Interactive,1,320.0,75000.0,0.0,24000000.0,,0.7143
Games For Pleasure,1,,10000.0,0.0,0.0,,0.0
Gamirror Games,2,,380000.0,20.5,0.0,,0.48835
Gamuzumi,1,,10000.0,1.0,0.0,,0.7209
Garage Games,2,,180000.0,4.0,0.0,,0.89925
Garage51,1,449.0,10000.0,1.0,4490000.0,,0.8852
Garibaldi Games,1,61.0,10000.0,0.0,610000.0,,0.88
Garoa Studios,1,385.0,10000.0,0.0,3850000.0,,0.9744
Gearbox Publishing,1,,10000.0,0.0,0.0,,0.5389
Geeky Mouse,1,,10000.0,1.0,0.0,,0.0
GeexGames,1,82.0,35000.0,0.0,2870000.0,,0.7143
Gerard Milmore,1,133.0,10000.0,0.0,1330000.0,,1.0
Ghost Story Games,1,,10000.0,0.0,0.0,,0.0
Ghost in the cartridge,1,,10000.0,0.0,0.0,,0.4783
Ghost_RUS Games,1,42.0,10000.0,0.0,420000.0,,0.0
Ghostlight LTD,1,30.0,10000.0,0.0,300000.0,,1.0
Giant Games,1,82.0,10000.0,0.0,820000.0,,0.5714
Go Ace It,1,,10000.0,0.0,0.0,,0.5
"Goblinz Studio, Fractale",1,,10000.0,0.0,0.0,,1.0
Godbey Games,1,,10000.0,0.0,0.0,,0.0
GoldenGod Games,1,,10000.0,2.0,0.0,,0.8378
"Goo Co., Ltd",1,165.0,10000.0,0.0,1650000.0,,0.0
Gotcha Gotcha Games,3,360.0,10000.0,0.0,3600000.0,,0.4666666666666666
Grab Games,1,,35000.0,0.0,0.0,,0.7794
"Grapple Bug Games, Inc.",1,,10000.0,0.0,0.0,,0.0
Guilherme Libanio,1,42.0,10000.0,0.0,420000.0,,0.0
HAYATOSKIE,1,,10000.0,0.0,0.0,,0.0
"HENTAI Plan, OTAKU Plan",1,,10000.0,0.0,0.0,,0.3333
HH-Games,1,320.0,35000.0,0.0,11200000.0,,0.5
Hagane,1,,35000.0,0.0,0.0,,0.0
Hako Games,1,133.0,10000.0,0.0,1330000.0,,0.5
