Разработчик,Количество игр,Средняя цена,Средние владельцы,Средний CCU,Суммарный доход (оценка),Средний метаскор
GoldenGod Games,1,,10000.0,2.0,0.0,
Goo,1,165.0,10000.0,0.0,1650000.0,
"Gotcha Gotcha Games, KADOKAWA",1,,10000.0,0.0,0.0,
Grab Games,1,,35000.0,0.0,0.0,
Grandma Studios,1,,10000.0,0.0,0.0,
"Grapple Bug Games, Inc.",1,,10000.0,0.0,0.0,
Green-eyed Taxi,1,42.0,10000.0,0.0,420000.0,
HA Studio Ltd.,1,,10000.0,0.0,0.0,
HAYATOSKIE,1,,10000.0,0.0,0.0,
Haemimont Games,1,,10000.0,0.0,0.0,
"Hagane, Lord Erin",1,,35000.0,0.0,0.0,
Hairy Heart Games,1,320.0,10000.0,0.0,3200000.0,
Hako Games,1,133.0,10000.0,0.0,1330000.0,
Hala Mohammed,1,165.0,35000.0,0.0,5775000.0,
Halycon Media,1,550.0,10000.0,0.0,5500000.0,
"Hassey Enterprises, Inc.",1,,10000.0,0.0,0.0,
Headbang Club,1,,10000.0,1.0,0.0,73.0
Heartomics,1,,10000.0,0.0,0.0,
Hidden Achievement LLC,1,,10000.0,0.0,0.0,
High Iron Simulations,1,,10000.0,0.0,0.0,
"Hologryph, Eerie Guest Studios",1,,1500000.0,91.0,0.0,
Honestly Games,1,,10000.0,2.0,0.0,
Honey Studio,1,259.0,10000.0,0.0,2590000.0,
Horny69Team,1,52.0,10000.0,0.0,520000.0,
Hosted Games,2,222.5,10000.0,2.0,4450000.0,
Hub Culture Ltd,1,,10000.0,0.0,0.0,
Hyperion Studio LLC,1,,10000.0,1.0,0.0,
Hypnotic Ants,1,,10000.0,1.0,0.0,
"IDEA FACTORY, COMPILE HEART",1,82.0,10000.0,0.0,820000.0,
"INTI CREATES CO., LTD.",1,,10000.0,0.0,0.0,
IO Interactive A/S,1,,10000.0,0.0,0.0,
IR Studio,2,42.0,10000.0,0.0,840000.0,
IS-TL,1,205.0,10000.0,0.0,2050000.0,
ISVR,1,,10000.0,0.0,0.0,
"Idea Factory, Compile Heart, Sting",2,671.0,80000.0,9.0,195420000.0,
ImageCode,1,385.0,10000.0,0.0,3850000.0,
Improbable Worlds Limited,1,,10000.0,1202.0,0.0,
Indomitus Games,1,320.0,75000.0,0.0,24000000.0,
"Infinitive Game Studios, LLC",1,,10000.0,0.0,0.0,
"Infinity Ward, Raven Software, Beenox, Treyarch, High Moon Studios, Sledgehammer Games, Activision Shanghai, Demonware, Toys for Bob",1,,10000.0,0.0,0.0,
Inmatrix LTD,1,133.0,10000.0,0.0,1330000.0,
Interactive Stone,1,,10000.0,0.0,0.0,
Iron Boar Labs Ltd.,1,284.0,10000.0,1.0,2840000.0,
Ironward,1,,3500000.0,5.0,0.0,
It's happening,1,,10000.0,0.0,0.0,
Italian Games Factory,1,,10000.0,0.0,0.0,
J.M.L. Riem,1,82.0,10000.0,0.0,820000.0,
J.S.Void,1,,35000.0,0.0,0.0,
JY Games,1,165.0,10000.0,0.0,1650000.0,
Jaisa Studio,1,,10000.0,0.0,0.0,
Jaming Soo,1,259.0,10000.0,0.0,2590000.0,
Jan Kovačík,1,,10000.0,0.0,0.0,
JanduSoft,1,129.0,10000.0,0.0,1290000.0,
Janika Suhonen,1,,10000.0,0.0,0.0,
"Janus VR, Inc.",1,,35000.0,0.0,0.0,
JeliLiam,1,,10000.0,1.0,0.0,
Jesse Sakari Hyttinen,1,,10000.0,0.0,0.0,
Joel Carter,1,,10000.0,0.0,0.0,
Joel Steudler,1,710.0,10000.0,0.0,7100000.0,
Joey Drew Studios Inc.,1,,10000.0,0.0,0.0,
Jonas Kastner,1,,10000.0,0.0,0.0,
"Jordan Pefianco, Filip Budd",1,,35000.0,0.0,0.0,
Jordan Rott,1,42.0,10000.0,0.0,420000.0,
Joshua Chenault,1,133.0,10000.0,0.0,1330000.0,
"Juggler Games, Nakayama Games",1,,10000.0,0.0,0.0,
Jules-Makes-Games,1,,10000.0,0.0,0.0,
Julian Henley,1,,10000.0,0.0,0.0,
KABloom Interactive,1,,75000.0,4.0,0.0,
KIMIDORI SOFT,1,125.0,10000.0,6.0,1250000.0,
KIXEYE,1,,10000.0,0.0,0.0,
"KOEI TECMO GAMES CO., LTD.",7,,10000.0,0.7142857142857143,0.0,
KOG,1,,10000.0,0.0,0.0,
KTX Software,1,82.0,10000.0,0.0,820000.0,
Kabi Jedhagen,1,,35000.0,0.0,0.0,
Kali Studio,1,125.0,10000.0,0.0,1250000.0,
Kazakov Oleg,1,125.0,75000.0,0.0,9375000.0,
Kdanss,1,710.0,10000.0,0.0,7100000.0,
Ki3 Games,1,,10000.0,0.0,0.0,
Killer Bees Games,1,,10000.0,0.0,0.0,
King Key Games,1,200.0,10000.0,0.0,2000000.0,
Kirisame Jump,1,289.0,10000.0,0.0,2890000.0,
Kobal Andrii,1,,10000.0,0.0,0.0,
Konstructors,1,,10000.0,0.0,0.0,
Kotoshiro,1,289.0,10000.0,0.0,2890000.0,
Kozegu Games,1,,10000.0,0.0,0.0,
Krasnoshekova Mariya,1,61.0,35000.0,0.0,2135000.0,
